CXHHBNMLPJOKQD-UHFFFAOYSA-N	000	methyl hydrogen carbonate
UCJPATVGPSMUQX-BYPYZUCNSA-N	KIK	(4~{s})-4-azanyl-5-oxidanyl-pent-1-en-3-one
FLXGQDHYCWXTAI-UHFFFAOYSA-N	KIM	n~4~-methyl-n~4~-(3-methyl-1h-indazol-6-yl)-n~2~-(3,4,5-trimethoxyphenyl)pyrimidine-2,4-diamine
DDDLGNOZDKDSEG-UHFFFAOYSA-N	KIN	1-[4-(pyridin-4-yloxy)phenyl]-3-[3-(trifluoromethyl)phenyl]urea
NVVSPGQEXMJZIR-BMIGLBTASA-N	KIQ	(1s,6r)-3-{[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8h)-yl]carbonyl}-6-(2,4,5-trifluorophenyl)cyclohex-3-en-1-amine
HMSYAPGFKGSXAJ-PAHGNTJYSA-N	KIR	kirromycin
YOVLZJGSLBCISL-UHFFFAOYSA-N	KIU	5-[(3-nitrobenzyl)oxy]benzene-1,3-dicarboxylic acid
QHKABHOOEWYVLI-UHFFFAOYSA-N	KIV	3-methyl-2-oxobutanoic acid
OJGIZUUIUXRITB-UHFFFAOYSA-N	KIW	5-[(3-nitrobenzyl)amino]benzene-1,3-dicarboxylic acid
XDDGJOIYZAMLBW-UHFFFAOYSA-N	KJ2	4-{4-[4-(3-aminopropoxy)phenyl]-1h-pyrazol-5-yl}-6-chlorobenzene-1,3-diol
ASCVQXWPIHGQIB-RUZDIDTESA-N	KJ8	n-[3-(4-{[(1s)-2-hydroxy-1-phenylethyl]amino}-6-phenylfuro[2,3-d]pyrimidin-5-yl)phenyl]-n~3~,n~3~-dimethyl-beta-alaninamide
CCGBAJCQZPJWCS-OAQYLSRUSA-N	KJQ	(2s)-2-[(5,6-diphenylfuro[2,3-d]pyrimidin-4-yl)amino]-2-phenylethanol
QTVUEQZXBRDKNW-HSZRJFAPSA-N	KJR	n-[3-(4-{[(1s)-2-hydroxy-1-phenylethyl]amino}-6-phenylfuro[2,3-d]pyrimidin-5-yl)phenyl]acetamide
OBPIPKQQNRACHV-UHFFFAOYSA-N	KJU	6-chloro-2h-1,4-benzoxazin-3(4h)-one
KPTUKIAZZFDEOC-AREMUKBSSA-N	KJV	4-(dimethylamino)-n-[3-(4-{[(1s)-2-hydroxy-1-phenylethyl]amino}-6-phenylfuro[2,3-d]pyrimidin-5-yl)phenyl]butanamide
HHHUDHYQFQBYIZ-AFUMVMLFSA-N	KJZ	[(2e)-1-{4-[(2-chlorophenyl)amino]-4-oxobutanoyl}-2-(naphthalen-1-ylmethylidene)hydrazino]acetic acid
HPTZTRACBOHBMX-UHFFFAOYSA-N	KK1	6-(4-methoxyphenyl)-n~4~-octylpyrimidine-2,4-diamine
XZLXJMNYYMKDDT-UHFFFAOYSA-N	KK2	4-(morpholin-4-yl)-6-[4-(trifluoromethyl)phenyl]pyrimidin-2-amine
YZEUYKXNCFTYAI-UHFFFAOYSA-N	KK3	4-(4-methylpiperidin-1-yl)-6-[4-(trifluoromethyl)phenyl]pyrimidin-2-amine
SDIJIFRHLPSENI-BQBZGAKWSA-N	KKA	(2s)-2-azanyl-6-oxidanylidene-6-[[(2s)-1-oxidanyl-1-oxidanylidene-4-sulfanyl-butan-2-yl]amino]hexanoic acid
PYEZBVJKCMJWAK-UONOGXRCSA-N	KKJ	(2s,3r)-2-hexyl-3-hydroxynonanoic acid
XMAYWYJOQHXEEK-OZXSUGGESA-N	KKK	1-acetyl-4-(4-{[(2r,4s)-2-(2,4-dichlorophenyl)-2-(1h-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)piperazine
JUTMAMXOAOYKHT-UHFFFAOYSA-N	KKN	3-methyl-2h-furo[2,3-c]pyran-2-one
DLNUPKDFXMWRFP-UHFFFAOYSA-N	KKR	1-[4-[[2-(1h-indazol-4-yl)-4-morpholin-4-yl-thieno[3,2-d]pyrimidin-6-yl]methyl]piperazin-1-yl]-6-methyl-hept-5-ene-1,4-dione
ILRSJTONHWLJFH-UHFFFAOYSA-N	KKT	n-(6-amino-1-benzyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)-n-methylbutane-1-sulfonamide
CWDYQHCEZVYJNX-UHFFFAOYSA-N	KLG	n-hydroxy-n~2~-[(2-phenylethyl)sulfonyl]glycinamide
FTQOZDRDOVWSBK-GFCCVEGCSA-N	KLH	n-hydroxy-1-[(2-phenylethyl)sulfonyl]-d-prolinamide
BZDUJTPAUCQOHN-UHFFFAOYSA-N	KLI	3-(5-benzyl-1,2,4-oxadiazol-3-yl)-6-fluoro-1-[2-fluoro-4-(trifluoromethyl)benzyl]-7-(4-methylpiperazin-1-yl)quinolin-4(1h)-one
LMKSZZKXCRCXFM-UHFFFAOYSA-N	KLJ	n-hydroxy-n~2~-{[2-(4-methoxyphenyl)ethyl]sulfonyl}glycinamide
XMAYWYJOQHXEEK-ZEQKJWHPSA-N	KLN	1-acetyl-4-(4-{[(2s,4r)-2-(2,4-dichlorophenyl)-2-(1h-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)piperazine
BBCGZOVGNWCXHT-UHFFFAOYSA-N	KLS	1-methyl-3-(n-phenylcarbamimidoyl)urea
JIVPVXMEBJLZRO-AWEZNQCLSA-N	KLT	2-chloro-5-[(1s)-1-hydroxy-3-oxo-2h-isoindol-1-yl]benzenesulfonamide
BCHIXGBGRHLSBE-UHFFFAOYSA-N	KLV	4-methylumbelliferyl phosphate
CYMRPDYINXWJFU-UHFFFAOYSA-N	KLW	2-carbamoylbenzoic acid
LPPVIXWNCVGAJV-UHFFFAOYSA-N	KM0	8-(benzyloxy)-5-chloroquinoline
BIHPUIBBWFPTCY-UHFFFAOYSA-N	KM1	5-chloro-8-[(3-chlorobenzyl)oxy]quinoline
CBFXRTSHUMEYKQ-UHFFFAOYSA-N	KMB	2-amino-6-aminomethyl-8-phenylsulfanylmethyl-3h-quinazolin-4-one
HGSGCVUFLKROQP-PPCCDUSGSA-N	KME	(1e)-prop-1-en-1-yl 3-deoxy-7-o-methyl-alpha-d-manno-oct-2-ulopyranosidonic acid
FAASBXNEOGMQHS-BYPYZUCNSA-N	KMH	(5s)-5-amino-3-oxo-hexanoic acid
WYIKILSZEONLKD-UHFFFAOYSA-N	KMN	2-[[4-(diethylamino)piperidin-1-yl]methyl]-6-ethynyl-4-(3-phenoxyprop-1-ynyl)phenol
IYRMWMYZSQPJKC-UHFFFAOYSA-N	KMP	3,5,7-trihydroxy-2-(4-hydroxyphenyl)-4h-chromen-4-one
SXFSQZDSUWACKX-UHFFFAOYSA-N	KMT	4-(methylsulfanyl)-2-oxobutanoic acid
HRXULFWGEYSULN-UHFFFAOYSA-N	KMY	3-chlorobenzothiophene-2-carbohydroxamic acid
LXPUCQLYLWGFLV-UHFFFAOYSA-N	KN0	4-[1-benzyl-7-(trifluoromethyl)-1h-indazol-3-yl]benzene-1,3-diol
ZDUDMCQPFKPISO-UHFFFAOYSA-N	KN1	4-[1-allyl-7-(trifluoromethyl)-1h-indazol-3-yl]benzene-1,3-diol
WLDZDEMGKFWJNR-UHFFFAOYSA-N	KN2	4-(6-hydroxy-1h-indazol-3-yl)benzene-1,3-diol
DFKXJYQQWHKKOK-UHFFFAOYSA-N	KN3	4-[1-(3-methylbut-2-en-1-yl)-7-(trifluoromethyl)-1h-indazol-3-yl]benzene-1,3-diol
FBUKVWPVBMHYJY-UHFFFAOYSA-N	KNA	nonanoic acid
AINYOQVNQVOYSR-VKHMYHEASA-N	KNB	3-(methylsulfonyl)-l-alanine
WZDRWYJKESFZMB-FQSMHNGLSA-N	KNC	kanamycin c
NJBBLOIWMSYVCQ-VZTVMPNDSA-N	KNI	(4r)-n-tert-butyl-3-[(2s,3s)-2-hydroxy-3-({n-[(isoquinolin-5-yloxy)acetyl]-s-methyl-l-cysteinyl}amino)-4-phenylbutanoyl]-1,3-thiazolidine-4-carboxamide
YCDHYYBDJVMMOY-SCTDOJESSA-N	KNJ	(4r)-3-[(2s,3s)-3-{[(4-amino-2,6-dimethylphenoxy)acetyl]amino}-2-hydroxy-4-phenylbutanoyl]-5,5-dimethyl-n-(2-methylprop-2-en-1-yl)-1,3-thiazolidine-4-carboxamide
KHZWIIFEFQBNKL-UHFFFAOYSA-N	KNL	(2,6-dichlorophenoxy)acetic acid
BVBBFBDIMMETKA-GNKIUVBNSA-N	KNM	ada-(ahx)3-(leu)3-vinyl sulfone
CJAAPVQEZPAQNI-UHFFFAOYSA-N	KNN	1-(2-methylphenyl)methanamine
OOTAWLNUYMHJOL-UHFFFAOYSA-N	KNP	(2,6-difluorophenoxy)acetic acid
GQQWVQCNFJXTNV-CXERMUKYSA-N	KO1	d-glycero-alpha-d-talo-oct-2-ulopyranosonic acid
MJWRJGHIYDIAQR-RUEXUQCSSA-N	KO2	prop-2-en-1-yl d-glycero-alpha-d-talo-oct-2-ulopyranosidonic acid
WVFORMHKBFWUNT-KSNKIKJPAO	KO4	potassium ion, 4 waters coordinated
XAWWYTYFOCONCK-UHFFFAOYSA-N	KOB	2-(2,4-dinitrophenyl)-n-(4-fluorophenyl)hydrazinecarbothioamide
JDFUCVHWLSVLIA-UHFFFAOYSA-N	KOH	3-[2-chloranyl-4-(1~{h}-imidazol-2-yl)phenoxy]propanoic acid
BEJNERDRQOWKJM-UHFFFAOYSA-N	KOJ	5-hydroxy-2-(hydroxymethyl)-4h-pyran-4-one
DYQHXZPAIVAJRU-HTXLXMOSSA-N	KOL	(4r,5s)-3-{[(3s,5s)-5-(dimethylcarbamoyl)pyrrolidin-3-yl]sulfanyl}-5-[(2s,3r)-3-hydroxy-1-oxobutan-2-yl]-4-methyl-4,5-dihydro-1h-pyrrole-2-carboxylic acid
JRVIIPJSVKTPBK-UHFFFAOYSA-N	KOM	7,8-dihydroxy-4-phenyl-2h-chromen-2-one
CAAULPUQFIIOTL-UHFFFAOYSA-N	KOP	methyl dihydrogen phosphate
XTMCQXZWONKOFP-QJBRIOCBSA-N	KOR	l-homocysteine-s-n-s-l-cysteine
KUFRQPKVAWMTJO-LMZWQJSESA-N	KOS	17-desmethoxy-17-n,n-dimethylaminoethylamino-geldanamycin
SLCZDPXCZLKLKY-RKQHYHRCSA-N	KOT	1-beta-d-glucopyranosyl-4-phenyl-1h-1,2,3-triazole
ZTQZHYMXYBDMIL-BIMOUXMDSA-N	KOU	(e)-n-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)-l-serine
JFPVXVDWJQMJEE-IZRZKJBUSA-N	KOV	(6r,7r)-3-[(carbamoyloxy)methyl]-7-{[(2z)-2-(furan-2-yl)-2-(methoxyimino)acetyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid
DBTGFWMBFZBBEF-UHFFFAOYSA-N	KP1	2,4-dimethylpentane-2,4-diol
LEOTWBKRAWDNPV-UHFFFAOYSA-N	KP2	5-phenyl-7h-pyrrolo[2,3-d]pyrimidine-2,4-diamine
KHAINKCXZBTBIV-WDLZNNHFSA-N	KP3	5'-o-({1-[(2e)-4-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1,3-dihydro-2-benzofuran-5-yl)-2-methylbut-2-en-1-yl]-1h-1,2,3-triazol-4-yl}methyl)adenosine
QESMYIFDOLAREQ-UHFFFAOYSA-N	KP6	2-(1,3,5-trimethyl-1h-pyrazol-4-yl)ethanol
UFXCSKVWNXIICO-UHFFFAOYSA-N	KPA	2-oxo-5-phosphonopentanoic acid
CRNXHFXAXBWIRH-UHFFFAOYSA-N	KPC	(2-[2-ketopropylthio]ethanesulfonate
WXGQZGWULWCASD-AVIBYBNCSA-N	KPF	n-(1-carboxy-2-fluoro-ethenyl) lysine
GGBBRMAUDBKNLU-WISUUJSJSA-N	KPG	[(3s,4r,5s)-3,4,5,6,6-pentahydroxy-2-oxo-hexyl] dihydrogen phosphate
LKFHLBGDPDYWSG-RXMQYKEDSA-N	KPH	[(1r)-1,5-diaminopentyl]phosphonic acid
JXBWDTJQFXOTMZ-KEXZDQNZSA-N	KPI	(2s)-2-amino-6-[(1-hydroxy-1-oxo-propan-2-ylidene)amino]hexanoic acid
YSOMBHFITHOMPW-UHFFFAOYSA-N	KPK	4-({1-[(4-methyl-1-benzothiophen-3-yl)methyl]-1h-benzimidazol-2-yl}sulfanyl)butanoic acid
PKVVTUWHANFMQC-UHFFFAOYSA-N	KPL	ketopantoate
AYWFQSXGKGSEHN-UHFFFAOYSA-N	KPN	n-(2-aminoethyl)-n-(2,2'-bipyridin-5-ylacetyl)glycine
RTVKPJRIOVZREZ-ZPYNKGFJSA-N	KPR	[(~{e},4~{s})-4-azanyl-3-oxidanylidene-pent-1-enyl] dihydrogen phosphate
GIMVKTFECLUQAU-XVMARJQXSA-N	KPS	pseudouridine 5'-phosphate, linear
XYHOBCMEDLZUMP-UHFFFAOYSA-N	KPT	6,7-dihydro[1,3]dioxolo[4,5-g][1,3]dioxolo[7,8]isoquino[3,2-a]isoquinolin-5-ium
MJXXAPORLGKVLB-UHFFFAOYSA-N	KPV	5-phenyl-2-keto-valeric acid
GXEFLMSEGCZSFI-UEEORIODSA-N	KPY	(2r)-2-azanyl-3-[2-[(e)-(1-oxidanyl-1-oxidanylidene-propan-2-ylidene)amino]ethylsulfanyl]propanoic acid
DVPVWRYIDHDOOO-VWLOTQADSA-N	KQ7	n-(2-methyl-5-{[(2-morpholin-4-ylpyridin-4-yl)carbonyl]amino}phenyl)-6-({2-[(2s)-1-methylpyrrolidin-2-yl]ethyl}amino)pyridine-3-carboxamide
YNSCKPCDFIDINW-UHFFFAOYSA-N	KQQ	3-[(2-{[1-(n,n-dimethylglycyl)-6-methoxy-4,4-dimethyl-1,2,3,4-tetrahydroquinolin-7-yl]amino}-7h-pyrrolo[2,3-d]pyrimidin-4-yl)amino]thiophene-2-carboxamide
JYQMTEASQYBLAO-NSHDSACASA-N	KQS	(3s)-3-(2-fluorophenyl)-n-((2-oxo-2,3-dihydro-1h-benzo[d]imidazol-5-yl)methyl)butanamide)
DNNSSWSSYDEUBZ-UHFFFAOYSA-N	KR	krypton
PXVAQENAIBBOHT-UHFFFAOYSA-N	KR0	3-decanoyloxypropyl decanoate
SORPAQIMHXALKW-UHFFFAOYSA-N	KR1	3-({3-[(2-amino-6-fluoropyridin-4-yl)methyl]-5-(1-methylethyl)-2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl}carbonyl)-5-methylbenzonitrile
XXRHRPGYYNOBHO-QGZVFWFLSA-N	KR2	(2r)-4-(2-benzoyl-1,2-diazepan-1-yl)-4-oxo-1-(2,4,5-trifluorophenyl)butan-2-amine
SQGUOOCGLKRFBU-UHFFFAOYSA-N	KR5	4-{[3-(3,5-dimethyl-1h-pyrazol-1-yl)-3-oxopropyl]amino}benzenesulfonamide
PJJNUMKZYDTVRG-UHFFFAOYSA-N	KRA	kurasoin a
AWNMAACWZSNOOV-UHFFFAOYSA-N	KRB	kurasoin b
CCHJJXMWNNECOU-SSEXGKCCSA-N	KRC	(9as)-8-acetyl-n-[(2-ethylnaphthalen-1-yl)methyl]-1,7-dihydroxy-3-methoxy-9a-methyl-9-oxo-9,9a-dihydrodibenzo[b,d]furan-4-carboxamide
GAMMHRRBGXCHRX-UHFFFAOYSA-N	KRG	3-(3,5-dimethyl-1,2-oxazol-4-yl)-5-ethoxybenzoic acid
QJBUEINIMXZUED-UHFFFAOYSA-N	KRH	5-methyl-3-(1-methyl-1h-imidazol-5-yl)-7-(2-methylpropyl)-2-(naphthalen-1-ylmethyl)-2h-pyrazolo[3,4-d]pyrimidine-4,6(5h,7h)-dione
QFXXRJSDEMCBPH-ARDNSNSESA-N	KRI	(s)-2-amino-4-[(2s,3r)-2,3,5-trihydroxy-4-oxo-pentyl]mercapto-butyric acid
XPCQXAQALLRVJQ-UHFFFAOYSA-N	KRJ	4-cyano-n-(2-cyclohex-1-en-1-yl-4-piperidin-4-ylphenyl)-1h-imidazole-2-carboxamide
UUPPIQKPNBIUKY-UHFFFAOYSA-N	KRL	5-cyano-n-[4-(4-methylpiperazin-1-yl)-2-piperidin-1-ylphenyl]furan-2-carboxamide
WQWBZRVAFAMASC-UHFFFAOYSA-N	KRM	4-[5-(4-phenoxyphenyl)-1h-pyrazol-3-yl]morpholine
ZLAJUTPBANPKKJ-UHFFFAOYSA-N	KRO	5-[2-(4-fluoro-3-methylphenyl)ethyl]-2,6-dioxo-1,2,3,6-tetrahydropyrimidine-4-carboxylic acid
ZXONPSZUOLSXSE-UHFFFAOYSA-N	KRP	3-methyl-5-{[5-(1-methylethyl)-2,6-dioxo-3-propyl-1,2,3,6-tetrahydropyrimidin-4-yl]carbonyl}benzonitrile
WOMKDMUZNBFXKG-ZWKOPEQDSA-N	KRS	cladosporin
AYPIJAMXGVYYRQ-UHFFFAOYSA-N	KRV	3-{[3-ethyl-5-(1-methylethyl)-2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl]carbonyl}-5-methylbenzonitrile
PDMUGYOXRHVNMO-UHFFFAOYSA-N	KRW	2-{4-[1-(quinolin-6-ylmethyl)-1h-[1,2,3]triazolo[4,5-b]pyrazin-6-yl]-1h-pyrazol-1-yl}ethanol
KJXMFUFGGQJXRP-UHFFFAOYSA-N	KRX	6-(3-methoxyphenyl)-n-[1-(2,2,2-trifluoroethyl)piperidin-4-yl]pyridine-3-carboxamide
NVRXTLZYXZNATH-UHFFFAOYSA-N	KS1	1-cyclopentyl-3-(1h-pyrrolo[2,3-b]pyridin-5-yl)-1h-pyrazolo[3,4-d]pyrimidin-4-amine
ITOYZJGFTNTKKR-UHFFFAOYSA-N	KS4	1-cyclobutyl-3-(3,4-dimethoxyphenyl)-1h-pyrazolo[3,4-d]pyrimidin-4-amine
GEZALMMCQYDFML-UHFFFAOYSA-N	KS5	1-(1-methylethyl)-3-quinolin-6-yl-1h-pyrazolo[3,4-d]pyrimidin-4-amine
KOZFSFOOLUUIGY-SOLYNIJKSA-N	KSA	k-252a
MQQLFCCVKCAWKZ-UHFFFAOYSA-N	KSC	7-[(cyclopropylmethyl)amino]-2-[(4-methoxyphenyl)amino]-5-methylpyrazolo[1,5-a]pyrimidine-3-carboxamide
BMQFLKKGNQVSNN-UHFFFAOYSA-N	KSE	7-[(2-amino-2-methylpropyl)amino]-2-[(3,5-dimethoxyphenyl)amino]-5-methylpyrazolo[1,5-a]pyrimidine-3-carboxamide
NNBICZMPIJMWGC-UHFFFAOYSA-N	KSF	n-(2-chlorophenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine
PVTHJAPFENJVNC-MHRBZPPQSA-N	KSG	(1s,2r,3s,4r,5s,6s)-2,3,4,5,6-pentahydroxycyclohexyl 2-amino-4-{[carboxy(imino)methyl]amino}-2,3,4,6-tetradeoxy-alpha-d-arabino-hexopyranoside
ITADTXCJWWSRJO-OAHLLOKOSA-N	KSH	2-[(3,5-dimethoxyphenyl)amino]-5-ethyl-7-[(2r)-2-(hydroxymethyl)pyrrolidin-1-yl]pyrazolo[1,5-a]pyrimidine-3-carboxamide
XNYWWKRLFGHJRZ-UHFFFAOYSA-N	KSK	7-[(2-amino-2-methylpropyl)amino]-5-cyclopropyl-2-[(3,5-dimethoxyphenyl)amino]pyrazolo[1,5-a]pyrimidine-3-carboxamide
KKYYLKPGILUPOA-UHFFFAOYSA-N	KSL	n-(2,6-dimethylphenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine
VWJPPYCULHDHBB-HNNXBMFYSA-N	KSM	n-(2-chloro-6-methylphenyl)-8-[(3s)-3-methylpiperazin-1-yl]imidazo[1,5-a]quinoxalin-4-amine
MIJMZVTYIXYSDK-UHFFFAOYSA-N	KSR	6-(5-methoxy-1-methyl-1h-indol-3-yl)-5h-pyrrolo[2,3-b]pyrazine
VCAREOFNIBYKAE-UHFFFAOYSA-N	KSS	7-(3,4-dimethoxyphenyl)-5-(ethylsulfanyl)imidazo[1,2-c]pyrimidine
LWCMSOOFWFXQDZ-QMMMGPOBSA-N	KST	n~6~-(5-carboxy-3-thienyl)-l-lysine
DJAOVLPLLJHHPY-FVELJTHGSA-N	KT3	n-{4-4-(2,4-diamino-6-oxo-1,6-dihydro-pyrimidin-5-yl)-1-(2,2,2-trifluoro-1,1-dihydroxy-ethyl)-but-2-yl-benzoyl}-gamma-glutamyl-gamma-glutamyl-glutamic acid
IWEGOVKIJZGOSL-RCZRCYCLSA-N	KT5	n-{4-4-(2,4-diamino-6-oxo-1,6-dihydro-pyrimidin-5-yl)-1-(2,2,2-trifluoro-1,1-dihydroxy-ethyl)-but-2-yl-benzoyl}-gamma-glutamyl-gamma-glutamyl-gamma-glutamyl-gamma-glutamyl-glutamic acid
RYTWPAUCABOYJP-LURJTMIESA-N	KTA	(s)-cyclohexanone-2-acetate
BGKROBBCCGUUCF-UHFFFAOYSA-N	KTC	10-oxooctadecanoic acid
PKHSKYFMULMNOC-UHFFFAOYSA-N	KTD	1-(1,2,3-benzothiadiazol-6-yl)-3-(2-oxo-2-phenylethyl)urea
ZGTFNNUASMWGTM-UHFFFAOYSA-N	KTH	2-ketothiazole
WRERTDQKTDJJIZ-UHFFFAOYSA-N	KTJ	4-(3-amino-1h-pyrazol-4-yl)phenol
QJXCNANYVSBOBZ-UHFFFAOYSA-N	KTK	4-[3-amino-4-(4-hydroxyphenyl)-1h-pyrazol-5-yl]benzene-1,3-diol
OMKXVFDVAGCPBS-QTIKZJLFSA-N	KTL	(1s,2r,3r,4s)-1-{(1s)-2-[(2r,3s,4s)-3,4-dihydroxy-2-(hydroxymethyl)tetrahydrothiophenium-1-yl]-1-hydroxyethyl}-2,3,4,5-tetrahydroxypentyl sulfate
XMAYWYJOQHXEEK-JYFHCDHNSA-N	KTN	cis-1-acetyl-4-(4-((2-(2,4-dichlorophenyl)-2-(1h-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl)methoxy)phenyl)piperazine
VZSJTEDYMNRNSN-ZNROUJSISA-N	KTO	(2~{s})-2-azanyl-3-[(2~{r},3~{s})-2-oxidanyl-3-[[(1~{s},5~{r})-3-oxidanylidene-9-azabicyclo[3.3.1]nonan-9-yl]oxy]-1,2-dihydroindol-3-yl]propanal
OFHMUASCSJJNNA-JOCHJYFZSA-N	KTP	(2-naphthalen-2-yl-1-naphthalen-1-yl-2-oxo-ethyl)-phosphonic acid
OZWKMVRBQXNZKK-LLVKDONJSA-N	KTR	(1r)-5-benzoyl-2,3-dihydro-1h-pyrrolizine-1-carboxylic acid
SDKKPKVWEQUWPM-VAOFZXAKSA-N	KTU	prop-2-en-1-yl 3,5-dideoxy-alpha-d-threo-oct-5-en-2-ulopyranosidonic acid
DDOAMBAFKLSUFY-UHFFFAOYSA-N	KTZ	n4,n4-dimethyl-5,6-diphenyl-7h-pyrrolo[2,3-d]pyrimidine-2,4-diamine
HGEPGGJUGUMFHT-UHFFFAOYSA-N	KU8	4-[3-(1,4-diazepan-1-ylcarbonyl)-4-fluorobenzyl]phthalazin-1(2h)-one
ZLTCEYHTNOZGIS-UHFFFAOYSA-N	KUF	7-methyl-2h-isoquinolin-1-one
NCHSTBMDNNMMEJ-BEFAXECRSA-N	KV1	n-((3r,5s)-1-(benzofuran-3-carbonyl)-5-(ethylcarbamoyl)pyrrolidin-3-yl)-3-ethyl-1-methyl-1h-pyrazole-5-carboxamide
MOENETCLMCOREY-GFCCVEGCSA-N	KVC	(5r)-8-amino-3-fluoro-5,19-dimethyl-20-oxo-5,18,19,20-tetrahydro-11,7-(azeno)pyrido[2',1':2,3]imidazo[4,5-h][2,5,11]benzoxadiazacyclotetradecine-14-carbonitrile
ARYLRJRVHGPIHO-XPRREXDTSA-N	KVI	(2s)-2-{[(2r,5s)-5-{[(2s,3s)-2-{[(2s,3r)-2-(acetylamino)-3-hydroxybutanoyl]amino}-3-methylpentanoyl]amino}-2-butyl-4-oxononanoyl]amino}-n~1~-[(2s)-1-amino-5-carbamimidamido-1-oxopentan-2-yl]pentanediamide
UUSXLKOKWOAAGR-WZGNFWQUSA-N	KVS	n~2~-[(2r,5s)-5-({(2s,3s)-2-[(n-acetyl-l-threonyl)amino]-3-methylpent-4-enoyl}amino)-2-butyl-4,4-dihydroxynonanoyl]-l-glutaminyl-l-argininamide
HXPHNDLDCCQYDB-UHFFFAOYSA-N	KVY	4-amino-1-methyl-n-{1-methyl-5-[(1-methyl-5-{[3-(methylamino)-3-oxopropyl]carbamoyl}-1h-pyrrol-3-yl)carbamoyl]-1h-pyrrol-3-yl}-1h-pyrrole-2-carboxamide
GZEPXNUXMPYSOQ-UHFFFAOYSA-M	KWB	5-cyclohexyl-2-hydroxybenzoate
XVNVRKWEENONTK-VDTYLAMSSA-N	KWS	{2-[(1r,2r)-1-amino-2-hydroxypropyl]-4-methylidene-5-oxo-4,5-dihydro-1h-imidazol-1-yl}acetic acid
QDLHCMPXEPAAMD-QAIWCSMKSA-N	KWT	(1s,6br,9as,11r,11br)-9a,11b-dimethyl-1-[(methyloxy)methyl]-3,6,9-trioxo-1,6,6b,7,8,9,9a,10,11,11b-decahydro-3h-furo[4,3,2-de]indeno[4,5-h][2]benzopyran-11-yl acetate
XGXDWBUGQKHTSH-UHFFFAOYSA-N	KWZ	4-(3-piperidin-1-ylpropyl)-6-[3-(trifluoromethyl)phenyl]pyrimidine-2-carbonitrile
UTNIKRVBYGTXDR-UHFFFAOYSA-N	KX1	4-cycloheptyl-6-(3-piperidin-1-ylpropyl)pyrimidine-2-carbonitrile
MNMYYWFEPBLDKF-JEVRCCDFSA-N	KX2	(4e,6z,8s,9s,10e,12s,13r,14s,16r)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-{[2-(pyrrolidin-1-yl)ethyl]amino}-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate
YFKUZVBMNGNFRI-UHFFFAOYSA-N	KXA	3-(aminomethyl)-4-(2,4-dichlorophenyl)-6-(2-methoxyphenyl)-2-methyl-5,6-dihydro-7h-pyrrolo[3,4-b]pyridin-7-one
CLNAIMPDNPYUGV-UHFFFAOYSA-N	KXB	3-(aminomethyl)-4-(2,4-dichlorophenyl)-6-(2-methoxyethyl)-2-methyl-5,6-dihydro-7h-pyrrolo[3,4-b]pyridin-7-one
PFTAWBLQPZVEMU-DZGCQCFKSA-N	KXN	(2r,3s)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2h-chromene-3,5,7-triol
LPUCBGGXXIUBAZ-UHFFFAOYSA-N	KXO	6-(3-fluorophenyl)-n-[1-(2,2,2-trifluoroethyl)piperidin-4-yl]pyridine-3-carboxamide
FPLTYHWZNYWMJS-UHFFFAOYSA-N	KXU	5-{[(4,6-dimethylpyrimidin-2-yl)sulfanyl]methyl}-n-[(2-methylpyridin-4-yl)methyl]-1,2-oxazole-3-carboxamide
BIASMBPERGWEBX-UHFFFAOYSA-N	KY1	4-(2-aminophenyl)-4-oxobutanoic acid
HCZHHEIFKROPDY-UHFFFAOYSA-N	KYA	4-hydroxyquinoline-2-carboxylic acid
IOOWDXMXZBYKLR-UHFFFAOYSA-N	KYD	3,5-dimethyl-1h-pyrazole-4-carboxylic acid
YGPSJZOEDVAXAB-QMMMGPOBSA-N	KYN	(2s)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid
KPQVRBQSBOCTRG-BYPFVBTMSA-N	KYQ	(e)-n~6~-(1-carboxy-2-hydroxyethylidene)-l-lysine
